,,,,,,,,
,,,,,,,,
,date,amount_of_sleep,length_of_wo,type_of_wo,meal,time_of_meal,caffeine,satisfaction
,4/20/2026,7:45:00,1:05:00,abs,p,1:40:00,0,3
,4/21/2026,8:05:00,1:15:00,legs and cardio,p,2:00:00,0,4
,4/22/2026,8:20:00,1:06:00,arms,p and fi,1:50:00,0,4
,4/23/2026,8:05:00,1:03:00,abs,p and f,0:30:00,125,5
,4/24/2026,7:47:00,1:26:00,glutes and cardio,"p, f, c",3:30:00,125,4
,4/25/2026,5:00:00,1:10:00,yoga and cardio,c,2:30:00,140,2.5
,4/26/2026,8:20:00,1:12:00,arms and cardio,p and c,1:50:00,0,5
,4/27/2026,8:13:00,1:04:00,legs,p and c,2:00:00,0,4
,4/28/2026,8:20:00,1:15:00,cardio,"p, c, fi",2:30:00,125,3
,4/29/2026,8:20:00,1:15:00,cardio,"p, f, c",2:30:00,125,3
,4/30/2026,8:30:00,2:00:00,abs and cardio,c,1:30:00,125,3
,5/4/2026,8:20:00,1:04:00,abs,p and c,1:40:00,0,3
,5/5/2026,7:50:00,0:50:00,arms,c,2:00:00,300,3
,5/6/2026,8:20:00,1:20:00,glutes,p and c,3:20:00,200,4
,5/7/2026,6:50:00,1:15:00,abs and cardio,p and c,0:35:00,0,4
,5/8/2026,6:00:00,1:10:00,arms and cardio,p,0:10:00,0,2
,5/11/2026,6:30:00,1:12:00,abs and cardio,p and c,2:20:00,125,3
,5/12/2026,7:20:00,1:00:00,arms,p and c,2:00:00,0,4
,5/13/2026,8:00:00,1:11:00,legs,c,0:30:00,125,3
,5/14/2026,6:30:00,1:45:00,abs and cardio,c and f,0:30:00,140,3.5
,5/15/2026,6:50:00,1:15:00,arms,p and c,0:40:00,130,4
,5/16/2026,7:00:00,1:10:00,glutes and cardio,p and c,0:20:00,0,3
,5/18/2026,7:30:00,0:52:00,abs,p and c,1:20:00,0,3
,5/19/2026,7:30:00,1:00:00,arms,p and f,0:45:00,0,4
,5/20/2026,7:00:00,0:30:00,legs,p and f,1:30:00,0,1
,5/21/2026,7:20:00,0:50:00,abs,p and c,1:30:00,0,3
,5/22/2026,7:45:00,0:55:00,arms,c,0:25:00,0,3
,5/24/2026,9:00:00,1:00:00,glutes,,,0,4
,5/26/2026,8:00:00,1:15:00,abs and cardio,p and c,2:10:00,0,3
,5/27/2026,7:50:00,1:00:00,arms,p and c,1:20:00,0,4
